case_no,applicant_citizenship,visa_type,employer_name,job_city,job_state,wages,applicant_highest_education,major_study,decision_date,case_status
A-16111-99531,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16111-99635,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16098-94129,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16104-96706,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16104-96729,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/19/2016,Certified
A-16104-96776,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16104-96806,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16104-96877,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (TECHNOLOGY),7/19/2016,Certified
A-16104-96894,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16104-96908,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (INFORMATION TECHNOLOGY),7/19/2016,Certified
A-16102-95742,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16105-97022,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16105-97087,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER APPLICATIONS),7/19/2016,Certified
A-16105-97286,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16105-97299,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/19/2016,Certified
A-16105-97336,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/19/2016,Certified
A-16105-97423,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16110-99297,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/19/2016,Certified
A-16110-99303,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/19/2016,Certified
A-16111-99480,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16116-01326,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/19/2016,Certified
A-16116-01300,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16116-01303,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/19/2016,Certified
A-16116-01305,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (BIOTECHNOLOGY),7/19/2016,Certified
A-16092-91801,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16098-94420,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16111-99880,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16103-96133,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95267,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16109-98584,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Other,"SCIENCE (MATHEMATICS, PHYSICS, ELECTRONICS)",7/20/2016,Certified
A-16102-95433,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16102-95447,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16102-95463,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16102-95440,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16092-91821,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16111-99643,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRICAL),7/20/2016,Certified
A-16098-94063,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16098-94135,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16092-91834,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16092-91739,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16092-91742,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16092-91789,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16092-91790,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCEINCE (COMPUTER APPLICATIONS),7/20/2016,Certified
A-16092-91791,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING(ELECTRONIC),7/20/2016,Certified
A-16092-91794,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16099-94848,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16099-94855,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16099-94857,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRICAL),7/20/2016,Certified
A-16099-94862,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16099-94933,UNITED KINGDOM,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16099-94973,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16092-92069,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16111-99490,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16111-99887,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16111-99892,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16111-99902,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16111-99972,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING (ELECTRICAL),7/20/2016,Certified
A-16104-96517,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16116-01427,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16116-01450,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16116-01507,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16103-96046,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16103-96096,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95263,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16102-95317,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16102-95279,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16102-95283,UNITED STATES OF AMERICA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95284,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING  (ELECTRONIC),7/20/2016,Certified
A-16102-95286,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16102-95325,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95360,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16102-95361,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95408,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95421,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95425,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16102-95455,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/20/2016,Certified
A-16102-95461,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16102-95466,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95477,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16102-95443,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16102-95483,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16102-95484,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER APPLICATIONS),7/20/2016,Certified
A-16102-95508,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16103-96108,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/20/2016,Certified
A-16103-96109,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/20/2016,Certified
A-16103-96299,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/20/2016,Certified
A-16109-98377,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/20/2016,Certified
A-16098-94301,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Other,COMPUTER SCIENCE,7/21/2016,Certified
A-16102-95371,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/21/2016,Certified
A-16098-94150,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/21/2016,Certified
A-16098-94187,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/21/2016,Certified
A-16098-94200,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/21/2016,Certified
A-16098-94272,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/21/2016,Certified
A-16098-94284,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/21/2016,Certified
A-16102-95737,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMARION SYSTEMS),7/21/2016,Certified
A-16102-95750,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/21/2016,Certified
A-16102-95753,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/21/2016,Certified
A-16098-94329,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/21/2016,Certified
A-16098-94314,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/21/2016,Certified
A-16110-99237,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/21/2016,Certified
A-16111-99837,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/21/2016,Certified
A-16103-95885,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/21/2016,Certified
A-16103-95954,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/21/2016,Certified
A-16103-95980,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/21/2016,Certified
A-16102-95369,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/21/2016,Certified
A-16102-95376,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,SCIENCE (INFORMATION TECHNOLOGY),7/21/2016,Certified
A-16099-94739,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-15183-94320,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,64438,Bachelor's,SCIENCE (MATHEMATICS),7/22/2016,Certified
A-16092-91843,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING,7/22/2016,Certified
A-16119-03169,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16118-02554,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03065,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,SCIENCE (TECHNOLOGY),7/22/2016,Certified
A-16104-96641,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,SCIENCE (COPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16119-03362,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (COMPUTER),7/22/2016,Certified
A-16119-03391,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16099-94761,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/22/2016,Certified
A-16099-94747,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16099-94724,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16099-94773,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/22/2016,Certified
A-16099-94794,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRICAL),7/22/2016,Certified
A-16118-02738,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16092-91913,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/22/2016,Certified
A-16092-91880,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16119-03187,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03189,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03200,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03180,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16119-03368,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03208,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03250,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03252,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/22/2016,Certified
A-16119-03275,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03290,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING,7/22/2016,Certified
A-16118-02489,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (COMPUTER),7/22/2016,Certified
A-16118-02493,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING,7/22/2016,Certified
A-16118-02497,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16104-96612,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16104-96630,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03384,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Bachelor's,ENGINEERING (ELECTRONIC),7/22/2016,Certified
A-16119-03357,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,ENGINEERING,7/22/2016,Certified
A-16119-03398,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,81765,Master's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/22/2016,Certified
A-16099-94808,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,BUSINESS,7/25/2016,Certified
A-16099-95026,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (ELECTRONIC),7/25/2016,Certified
A-16105-97478,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,ENGINEERING (COMPUTER),7/25/2016,Certified
A-16104-96610,INDIA,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,College Station,TX,66144,Bachelor's,SCIENCE (COMPUTER INFORMATION SYSTEMS),7/25/2016,Certified
